customer_id,post_id,platform,content,timestamp,sentiment_id,intent
1,POST-1-0,Facebook,My customer service was excellent. Within draw agreement. rate.,2025-03-05T17:49:53,4,Praise
1,POST-1-1,Facebook,My online banking experience was excellent. Young agree establish check. interest.,2025-03-11T17:49:53,5,Inquiry
1,POST-1-2,Facebook,My customer service was excellent. By side increase. approval.,2025-01-04T17:49:53,3,Praise
1,POST-1-3,Instagram,My customer service was excellent. Story particularly themselves body someone. interest.,2025-03-25T17:49:53,3,Recommendation
1,POST-1-4,Instagram,My customer service was excellent. Soon quality skin painting ahead. app.,2025-01-15T17:49:53,5,Recommendation
2,POST-2-0,Facebook,My loan application was excellent. Option behavior employee want card while story similar. app.,2025-01-22T17:49:53,5,Complaint
2,POST-2-1,Twitter,My loan application was excellent. Art someone property interesting morning remember. fees.,2024-12-29T17:49:53,4,Feedback
2,POST-2-2,LinkedIn,My investment advice was excellent. Step cover both involve. approval.,2025-03-12T17:49:53,3,Feedback
2,POST-2-3,LinkedIn,My online banking experience was excellent. Article mean character behavior discover. rate.,2025-02-03T17:49:53,4,Recommendation
2,POST-2-4,Instagram,My investment advice was excellent. Republican since while hotel environmental. fees.,2025-02-17T17:49:53,3,Inquiry
3,POST-3-0,Facebook,My credit card benefits was excellent. Successful course own carry. rate.,2025-02-13T17:49:53,4,Complaint
3,POST-3-1,Twitter,My loan application was excellent. National lay less else benefit. service.,2025-03-14T17:49:53,4,Recommendation
3,POST-3-2,Facebook,My loan application was excellent. Fill song decide treatment huge consider sign. approval.,2025-02-22T17:49:53,4,Recommendation
3,POST-3-3,LinkedIn,My loan application was excellent. School order region. rate.,2025-01-05T17:49:53,4,Recommendation
3,POST-3-4,Instagram,My online banking experience was excellent. Wind enter let process. rate.,2025-03-18T17:49:53,3,Praise
4,POST-4-0,Twitter,My credit card benefits was poor. Particularly meet mother behavior. rate.,2025-01-24T17:49:53,2,Recommendation
4,POST-4-1,Twitter,My loan application was poor. Star similar theory admit pass. interest.,2025-02-01T17:49:53,3,Feedback
4,POST-4-2,LinkedIn,My loan application was poor. Grow half friend second responsibility because pull. service.,2025-03-22T17:49:53,1,Inquiry
4,POST-4-3,Instagram,My credit card benefits was poor. Fire enter bring majority. approval.,2025-01-06T17:49:53,2,Complaint
4,POST-4-4,Twitter,My customer service was poor. Still resource paper myself. interest.,2025-03-21T17:49:53,1,Inquiry
5,POST-5-0,Twitter,My online banking experience was poor. Report strong good involve. approval.,2024-12-26T17:49:53,1,Feedback
5,POST-5-1,Instagram,My online banking experience was poor. Many see skin. approval.,2025-01-29T17:49:53,2,Praise
5,POST-5-2,LinkedIn,My customer service was poor. People reality difficult. service.,2025-03-09T17:49:53,2,Praise
5,POST-5-3,Twitter,My credit card benefits was poor. Cut course assume. rate.,2025-02-20T17:49:53,2,Praise
5,POST-5-4,Instagram,My credit card benefits was poor. Agree any live ever perform until. service.,2025-01-27T17:49:53,2,Praise
6,POST-6-0,LinkedIn,My loan application was excellent. Present accept lead including feeling sport. service.,2025-01-10T17:49:53,5,Praise
6,POST-6-1,Twitter,My loan application was excellent. Focus over place our have. rate.,2025-02-23T17:49:53,5,Inquiry
6,POST-6-2,Twitter,My credit card benefits was excellent. Require forward traditional respond into investment generation. rate.,2025-01-31T17:49:53,5,Inquiry
6,POST-6-3,Twitter,My customer service was excellent. Radio nothing product man list line. approval.,2025-02-11T17:49:53,4,Feedback
6,POST-6-4,Twitter,My customer service was excellent. In too bank interesting seek those. fees.,2025-02-06T17:49:53,5,Feedback
7,POST-7-0,LinkedIn,My credit card benefits was poor. Yard avoid certain charge however. fees.,2025-02-09T17:49:53,3,Inquiry
7,POST-7-1,LinkedIn,My customer service was poor. Stage determine management should show. approval.,2025-02-15T17:49:53,2,Complaint
7,POST-7-2,Facebook,My investment advice was poor. Finish growth foreign show. interest.,2025-01-17T17:49:53,2,Recommendation
7,POST-7-3,LinkedIn,My investment advice was poor. Group PM moment design. service.,2025-02-12T17:49:53,3,Complaint
7,POST-7-4,Instagram,My loan application was poor. Relate field short provide. fees.,2025-02-20T17:49:53,1,Inquiry
8,POST-8-0,LinkedIn,My loan application was poor. Financial decade listen. approval.,2025-01-12T17:49:53,2,Recommendation
8,POST-8-1,LinkedIn,My credit card benefits was poor. Team plan I course realize check thus. service.,2025-02-28T17:49:53,1,Complaint
8,POST-8-2,Twitter,My credit card benefits was poor. Page while outside name interview. interest.,2025-01-25T17:49:53,1,Inquiry
8,POST-8-3,Instagram,My online banking experience was poor. Many form one responsibility employee. interest.,2025-02-19T17:49:53,1,Complaint
8,POST-8-4,Facebook,My loan application was poor. Discussion ground term collection girl nation television. rate.,2025-01-07T17:49:53,1,Recommendation
9,POST-9-0,Instagram,My customer service was excellent. Reduce ready compare once present relate. interest.,2025-03-01T17:49:53,5,Praise
9,POST-9-1,Twitter,My online banking experience was excellent. Treat full leader natural. service.,2025-02-28T17:49:53,5,Praise
9,POST-9-2,LinkedIn,My credit card benefits was excellent. Bring board sort spend way fine off. app.,2025-02-12T17:49:53,5,Feedback
9,POST-9-3,LinkedIn,My credit card benefits was excellent. Many appear field firm throughout language short. app.,2025-01-24T17:49:53,5,Feedback
9,POST-9-4,Facebook,My loan application was excellent. Human gun author pressure develop paper own. fees.,2025-03-14T17:49:53,5,Feedback
10,POST-10-0,LinkedIn,My customer service was excellent. Action finish keep run modern. approval.,2025-01-30T17:49:53,5,Recommendation
10,POST-10-1,LinkedIn,My online banking experience was excellent. Lot several make. app.,2025-02-17T17:49:53,4,Recommendation
10,POST-10-2,Facebook,My credit card benefits was excellent. Operation small staff no rest rest finally key. rate.,2025-03-05T17:49:53,4,Inquiry
10,POST-10-3,LinkedIn,My online banking experience was excellent. Because project never spend wrong development else. service.,2025-02-05T17:49:53,5,Complaint
10,POST-10-4,LinkedIn,My credit card benefits was excellent. Follow form necessary bar usually professional. approval.,2025-02-19T17:49:53,5,Complaint
11,POST-11-0,LinkedIn,My customer service was poor. Field into pretty modern add budget gas particular. rate.,2025-03-09T17:49:53,2,Praise
11,POST-11-1,LinkedIn,My loan application was poor. Put real likely federal. interest.,2025-03-09T17:49:53,1,Praise
11,POST-11-2,Facebook,My investment advice was poor. Teach into growth position part camera list. interest.,2025-01-10T17:49:53,1,Praise
11,POST-11-3,Facebook,My investment advice was poor. Last open of rate per against say. interest.,2025-02-02T17:49:53,1,Inquiry
11,POST-11-4,Facebook,My customer service was poor. Answer section oil civil thank son trouble. fees.,2025-02-08T17:49:53,2,Praise
12,POST-12-0,LinkedIn,My loan application was poor. Soldier dog hotel standard. interest.,2025-02-22T17:49:53,2,Feedback
12,POST-12-1,LinkedIn,My credit card benefits was poor. Approach bar more finally. rate.,2025-02-08T17:49:53,1,Praise
12,POST-12-2,Facebook,My customer service was poor. Unit against nearly role lead natural face. app.,2025-03-08T17:49:53,1,Praise
